開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,1等口数,2等口数,3等口数,4等口数,5等口数,6等口数,1等賞金,2等賞金,3等賞金,4等賞金,5等賞金,6等賞金,キャリーオーバー
166,2016/6/24,14,20,27,29,30,31,37,23,34,0,9,103,5210,90495,159868,0,11749100,1437200,16600,2300,1200,838919740
167,2016/7/1,1,3,5,7,10,26,36,19,37,2,16,175,8295,126796,199765,596966700,7293200,933500,11500,1800,1000,0
168,2016/7/8,3,9,12,14,19,20,36,2,5,0,8,96,4707,79672,142639,0,10278400,1199100,14300,2000,1000,249683290
169,2016/7/15,1,5,10,20,21,28,30,25,26,0,9,145,7713,101092,143001,0,10458600,908800,10000,1800,1100,541842255
170,2016/7/22,3,5,6,9,27,32,36,12,24,1,9,126,7099,111780,198470,800000000,11318500,1131800,11700,1800,900,45774325
171,2016/7/29,1,2,6,21,23,27,28,11,16,1,6,112,5675,94440,169580,308533500,14778000,1108300,12800,1900,900,0
172,2016/8/5,5,20,21,27,30,31,36,9,26,1,10,143,5836,82221,134057,229139600,7737500,757500,10800,1900,1000,0
173,2016/8/12,7,9,19,22,24,27,30,4,28,0,9,96,4599,76223,151261,0,8179800,1073500,13100,1900,800,228099815
174,2016/8/19,10,13,14,15,23,31,32,4,29,3,7,109,5268,86852,160305,170269900,13318400,1197400,14500,2100,1000,0
175,2016/8/26,6,17,21,31,33,35,37,14,18,0,3,93,4005,70659,124654,0,26441700,1194100,16200,2200,1100,239677540
176,2016/9/2,1,11,12,17,22,30,35,15,16,0,5,89,5367,87754,148588,0,18978800,1492600,14500,2100,1100,528455810
177,2016/9/9,9,15,19,23,25,34,36,2,35,1,9,142,6691,108184,184822,800000000,11551700,1025000,12700,1900,1000,35718160
178,2016/9/16,6,9,11,15,26,34,36,13,37,0,8,93,5206,84160,137192,0,11013900,1326300,13900,2100,1100,298979855
179,2016/9/23,4,9,12,13,22,26,36,5,33,1,8,150,6573,100985,168946,581403600,11980000,894400,11900,1900,1000,0
180,2016/9/30,1,8,11,21,23,25,28,5,37,0,14,109,5735,89930,153913,0,5721300,1028700,11400,1800,900,237187815
181,2016/10/7,7,8,10,13,19,23,24,15,27,0,7,130,6491,102655,189360,0,13205000,995400,11600,1800,800,521445450
182,2016/10/14,1,7,10,11,20,23,30,3,37,0,28,203,9719,117841,189068,0,3682100,711000,8700,1700,900,842496950
183,2016/10/21,6,15,20,26,33,34,37,19,29,0,5,113,5827,98227,175010,0,23089700,1430300,16200,2300,1200,1181212000
184,2016/10/28,7,14,18,22,23,26,34,2,32,1,28,256,9419,127958,204874,800000000,4463800,683500,10800,1900,1100,751867760
185,2016/11/4,1,2,4,16,26,29,34,11,12,0,6,100,5587,96090,194575,0,18419400,1547200,16200,2300,1000,1077699135
186,2016/11/11,5,14,16,19,31,33,37,21,28,0,9,109,6212,101630,189498,0,12858400,1486300,15300,2300,1100,1411599250
187,2016/11/18,4,6,10,23,24,32,36,15,31,2,13,206,8657,135560,231695,800000000,9624600,850300,11800,1800,900,198771140
188,2016/11/25,6,15,19,25,26,30,31,14,18,1,4,112,5621,93300,158624,478206800,24214600,1210700,14100,2100,1100,0
189,2016/12/2,3,7,8,10,18,23,35,1,19,2,8,126,6418,98944,157885,123108600,10370900,921800,10600,1700,900,0
190,2016/12/9,2,11,12,18,21,33,36,8,34,1,12,105,5065,83879,144610,240259100,6759300,1081400,13100,1900,1000,0
191,2016/12/16,8,15,21,24,26,27,29,7,30,0,4,94,4653,76562,137587,0,20202500,1203500,14200,2100,1000,243867070
192,2016/12/23,12,13,14,19,25,33,34,3,22,0,12,118,5960,92178,163402,0,7783800,1108100,12800,2000,1000,522955095
193,2016/12/30,4,6,20,21,22,24,31,9,10,0,9,113,6037,100444,193019,0,12021800,1340400,14700,2100,1000,844728055
194,2017/1/6,3,6,27,30,31,32,36,14,23,0,6,130,6171,96460,189955,0,16169400,1044700,12900,2000,900,1131549130
195,2017/1/13,4,7,12,20,23,24,31,26,35,4,11,229,8965,131305,199956,371873100,10556800,709900,10600,1700,1000,0
196,2017/1/20,7,13,15,25,30,32,37,8,14,0,11,113,4792,76951,143940,0,7321700,997800,13800,2100,1000,234599870
197,2017/1/27,6,8,10,12,16,21,28,14,23,0,10,163,7271,109584,183425,0,9519200,817500,10700,1700,900,522001970
198,2017/2/3,18,21,31,32,33,36,37,5,25,0,5,92,7830,97289,185503,0,23983300,1824700,12500,2500,1100,879541410
199,2017/2/10,1,9,17,20,22,28,29,13,16,2,22,259,11394,147540,230618,636223100,6022200,716100,9500,1800,1000,0
200,2017/2/17,13,14,17,21,27,28,34,1,11,4,12,134,6075,94341,152630,67987600,7805300,978500,12600,2000,1100,0
201,2017/2/24,8,11,17,24,28,31,32,12,34,1,10,134,6540,96493,156259,263734200,8851000,924700,11100,1800,1000,0
202,2017/3/3,3,7,11,16,22,34,37,29,32,1,18,145,6040,89056,133997,254364500,4726500,821400,11500,1900,1100,0
203,2017/3/10,6,13,17,22,32,33,36,12,28,1,9,106,5225,80052,147130,236902300,9011200,1071100,12700,2000,1000,0
204,2017/3/17,5,19,20,21,30,34,36,7,12,0,4,100,4310,68340,129597,0,19529000,1093600,14800,2300,1000,237457480
205,2017/3/24,4,5,19,31,35,36,37,27,32,0,5,102,4969,84038,141768,0,17824400,1223200,14700,2100,1100,502863990
206,2017/3/31,1,6,7,11,27,35,36,22,26,2,10,127,6385,103019,174481,405262500,10099400,1113300,12900,1900,1000,0
207,2017/4/7,4,5,10,13,28,32,33,19,26,0,6,96,4637,77499,134173,0,13070000,1143600,13800,2000,1000,237151340
208,2017/4/14,4,13,16,18,22,26,33,27,29,2,11,148,6161,94473,164238,265859700,8775000,913000,12800,2000,1000,0
209,2017/4/21,3,4,6,13,22,31,36,28,34,2,6,148,6497,95571,161235,126470700,13920600,790000,10500,1700,900,0
210,2017/4/28,2,4,6,11,15,19,36,23,34,3,13,94,5601,90046,158042,81938200,6308500,1221400,12000,1800,900,0
211,2017/5/5,7,15,22,25,31,32,35,29,36,0,1,87,4147,66654,120393,0,73468200,1182200,14500,2200,1100,213835550
212,2017/5/12,4,6,10,19,20,24,29,1,27,1,4,111,5279,85435,147792,485279600,22301000,1125000,13800,2100,1000,0
213,2017/5/19,5,13,15,18,19,24,35,20,23,1,5,101,4498,75550,124267,221975000,15193000,1052900,13800,2000,1100,0
214,2017/5/26,2,6,9,12,31,36,37,3,22,0,6,89,4596,77756,145323,0,12438700,1173900,13300,1900,900,222151090
215,2017/6/2,11,12,13,21,29,36,37,7,9,0,8,113,4689,77519,163313,0,10580500,1048600,14800,2200,900,472406545
216,2017/6/9,9,14,22,24,25,36,37,8,28,0,5,91,5417,88057,162975,0,18713100,1439400,14100,2100,1000,752459005
217,2017/6/16,4,6,26,27,28,35,36,24,34,3,20,276,9882,135795,208907,366089300,5592700,567300,9200,1600,900,0
218,2017/6/23,15,16,17,21,26,29,30,10,34,0,7,82,4421,69813,125932,0,11201900,1338700,14500,2200,1100,234051170
219,2017/6/30,6,9,13,14,21,25,31,2,4,1,14,137,6501,101087,172660,499890800,6420600,918500,11300,1800,900,0
220,2017/7/7,7,9,11,18,25,28,35,20,27,1,9,114,5346,84172,138540,226348000,8553300,945300,11800,1800,1000,0
221,2017/7/14,1,2,9,11,17,30,35,13,36,0,8,72,4630,72256,123286,0,9252000,1439100,13100,2000,1000,228713890
222,2017/7/21,3,9,18,21,23,27,29,35,37,2,6,127,6133,91984,144651,237488900,13828300,914600,11100,1800,1000,0
223,2017/7/28,10,13,19,21,26,33,34,24,25,0,8,99,4669,70043,114037,0,8981800,1016100,12600,2000,1100,216537490
224,2017/8/4,2,4,7,10,12,29,34,1,21,0,12,115,5595,86363,143418,0,6787900,991600,11900,1900,1000,455617240
225,2017/8/11,13,15,17,18,20,21,26,25,29,0,9,72,4625,70339,129322,0,9488100,1660300,15100,2400,1200,704586110
226,2017/8/18,12,17,21,24,26,30,32,10,22,2,8,160,5907,93387,153889,498775500,12725800,890700,14100,2200,1200,0
227,2017/8/25,2,3,7,9,22,23,26,29,30,1,6,110,5230,81676,130062,211728100,12142600,927200,11400,1800,1000,0
228,2017/9/1,6,11,14,21,24,28,31,22,36,1,14,135,5511,84921,146739,220207500,5378700,780800,11200,1800,900,0
229,2017/9/8,2,3,9,30,33,36,37,1,32,0,4,70,3954,67218,113978,0,18376700,1470100,15200,2200,1100,219972905
230,2017/9/15,3,5,8,15,22,25,27,18,31,0,8,132,7069,103336,158735,0,10739600,911200,9900,1600,900,488540220
231,2017/9/22,4,15,18,24,25,34,36,10,26,0,5,128,5906,93003,153999,0,18672100,1021100,12900,2000,1100,759728850
232,2017/9/29,2,4,7,9,15,35,37,10,23,1,12,153,7395,117395,214357,1000000000,9296200,1020700,12300,1900,900,92542530
233,2017/10/6,3,13,17,25,26,27,29,8,37,0,8,103,5288,90228,160585,0,10725400,1166200,13300,1900,900,352144450
234,2017/10/13,7,14,15,16,23,25,30,5,34,0,7,119,6310,98933,169649,0,13471100,1109300,12200,1900,1000,627381835
235,2017/10/20,2,9,13,18,21,33,34,3,11,2,7,203,7726,107778,179818,465949400,14675800,708400,10900,1900,1000,0
236,2017/10/27,19,22,23,34,35,36,37,10,30,0,6,111,4721,75308,113751,0,12589100,952600,13100,2000,1200,219639955
237,2017/11/3,3,4,7,19,20,21,29,8,33,1,11,127,6148,94907,165076,495540900,8194800,993600,12000,1900,900,0
238,2017/11/10,3,21,26,33,34,35,37,23,31,1,5,58,3900,69076,110077,221756400,15076200,1819500,15800,2200,1200,0
239,2017/11/17,8,13,17,21,23,28,37,1,14,2,10,83,4447,76039,126613,108367000,7272000,1226500,13400,1900,1000,0
240,2017/11/24,9,12,14,24,29,31,35,5,30,0,7,91,4401,71616,124083,0,10047300,1082000,13100,1900,1000,211619725
241,2017/12/1,5,11,12,19,21,26,28,4,20,0,13,123,5635,86968,145057,0,6352500,939900,12000,1900,1000,455355365
242,2017/12/8,1,5,13,17,31,32,35,19,24,0,9,95,5229,83427,150343,0,10182000,1350400,14300,2200,1100,721477315
243,2017/12/15,6,9,13,18,20,22,30,11,14,2,11,128,6642,105269,180325,517917800,9559600,1150100,13000,2000,1000,0
244,2017/12/22,2,9,17,22,32,34,36,11,12,1,7,109,4719,72293,129238,228504900,10852200,975600,13200,2100,1000,0
245,2017/12/29,2,8,9,11,24,26,27,7,36,2,12,157,6149,93255,160222,117494400,6681100,714900,10700,1700,900,0
246,2018/1/5,3,6,9,19,23,25,31,21,36,1,8,102,4759,70956,118023,190480600,7775400,853700,10700,1700,900,0
247,2018/1/12,10,12,13,16,34,35,36,11,37,0,8,75,3817,62163,117489,0,8744900,1305800,15000,2200,1000,215130950
248,2018/1/19,1,5,6,22,25,27,31,12,18,1,12,89,5288,84474,158212,486799200,7244300,1367400,13500,2000,900,0
249,2018/1/26,9,20,28,29,31,34,37,5,25,0,3,99,3503,60041,106364,0,24094600,1022100,16900,2400,1200,213193135
250,2018/2/2,5,9,10,13,26,30,34,18,23,1,15,110,5706,87003,147994,474586400,5711200,1090300,12300,1900,1000,0
251,2018/2/9,1,15,20,26,28,34,37,23,30,1,2,76,3459,59358,105067,312906800,25915900,954700,12300,1700,1200,0
252,2018/2/16,8,23,24,25,27,30,31,11,17,1,4,83,4412,70825,131904,316752000,12826500,865300,9500,1400,900,0
253,2018/2/23,6,7,9,12,15,17,24,26,29,1,4,98,5391,80979,133405,309164300,12622700,721200,7600,1200,900,0
254,2018/3/2,1,12,14,18,23,24,31,7,26,0,3,59,3838,65858,125175,0,16800700,1195900,10700,1500,1000,301344395
255,2018/3/9,1,4,11,13,15,21,32,5,10,2,5,83,4473,80800,142503,334468400,12119600,1022100,11100,1500,1000,0
256,2018/3/16,14,21,24,27,30,33,37,19,20,1,3,77,3497,59453,104129,305471000,17000400,927200,11900,1700,1200,0
257,2018/3/23,5,15,16,26,27,32,35,23,28,1,11,84,4241,66571,126574,303266300,4621500,847200,9800,1500,1000,0
258,2018/03/30,1,3,11,20,23,32,35,25,26,1,5,79,3736,61830,105761,305996000,10008900,886800,11000,1600,1100,0
259,2018/4/6,5,6,15,19,22,29,32,4,31,0,8,64,3432,58886,110818,0,6022100,1053800,11500,1600,1000,296865915
260,2018/4/13,4,8,12,23,29,31,34,5,6,2,4,163,6620,93834,149269,333667500,14811100,508800,7300,1200,900,0
261,2018/4/20,4,14,15,17,21,23,26,7,8,0,7,56,3805,63451,129577,0,7013900,1227400,10500,1500,900,299962625
262,2018/4/27,2,6,7,9,19,23,36,5,15,0,14,149,6334,95239,155703,0,4083500,537100,7400,1200,900,641103540
263,2018/5/4,1,5,11,16,27,35,36,6,14,0,6,121,5583,85611,141147,0,10029000,696200,8800,1400,1000,1007154715
264,2018/5/11,8,13,15,17,21,26,29,4,24,0,23,196,8103,112727,193807,0,3183500,523000,7400,1300,900,1449029430
265,2018/5/18,12,13,15,19,21,24,36,10,37,2,9,166,6858,115664,181981,973273800,9164300,695500,9800,1400,1100,0
266,2018/5/25,6,11,15,17,20,27,32,16,22,0,3,84,3986,65358,107711,0,17184400,859200,10600,1600,1100,313999575
267,2018/6/1,8,13,18,20,23,25,26,6,28,0,10,82,4991,84759,154705,0,6591600,1125300,10800,1500,1000,718966520
268,2018/6/8,4,5,9,15,29,31,33,26,27,1,6,135,6894,108858,197196,1000000000,12371700,769700,8800,1300,900,173451955
269,2018/6/15,1,9,15,24,31,33,36,2,26,1,5,125,5556,87230,140545,541546300,12376300,693000,9100,1400,1100,0
270,2018/6/22,1,2,11,13,15,24,25,26,28,0,8,69,4512,74459,135756,0,6633500,1076700,9600,1400,900,326590330
271,2018/6/29,1,9,15,16,19,32,35,14,31,0,8,88,4611,76077,132456,0,7961400,1013200,11300,1600,1200,709520700
272,2018/7/6,2,5,8,15,18,26,31,19,25,2,8,147,8328,108405,169711,565988400,8794000,670000,6900,1300,1000,0
273,2018/7/13,13,15,21,23,26,32,34,5,9,2,396,190,7181,81640,146385,163912900,131500,383700,5900,1200,800,0
274,2018/7/20,9,14,21,23,25,26,37,7,29,0,5,54,4093,70124,117691,0,9848700,1276600,9800,1400,1000,297380135
275,2018/7/27,8,9,15,19,24,25,35,34,37,0,14,133,6531,94999,135106,0,4188400,617200,7300,1200,1000,659517715
276,2018/8/3,3,6,12,17,22,34,35,2,33,1,7,159,6399,94774,151327,1000000000,9668700,595900,8600,1400,1100,65883635
277,2018/8/10,6,7,9,11,21,23,25,1,22,0,12,129,5833,90448,147333,0,4532500,590200,7600,1200,900,391610110
278,2018/8/17,6,9,14,21,23,33,36,27,28,0,5,142,6793,103978,167042,0,12638600,623000,7600,1200,900,774981360
279,2018/8/24,7,11,15,17,19,23,31,9,37,0,12,185,8548,117304,210604,0,5937600,539100,6800,1200,800,1208286110
280,2018/8/31,4,9,10,11,24,32,35,2,37,0,6,173,7531,116457,186330,0,13162000,639000,8600,1300,1000,1693217310
281,2018/9/7,1,2,17,19,20,22,26,30,36,1,4,96,5111,89508,163932,1000000000,20471100,1194100,13100,1800,1200,1188572470
282,2018/9/14,10,17,18,25,29,35,36,7,14,1,8,112,5643,97856,175263,1000000000,9824400,982400,11400,1600,1100,658065950
283,2018/9/21,13,14,15,17,23,29,31,10,19,0,5,117,6559,102728,152967,0,13780800,824400,8600,1300,1100,1074137170
284,2018/9/28,6,7,10,25,29,30,33,1,31,0,9,124,6317,103248,174824,0,8583600,872100,10000,1500,1100,1531893985
285,2018/10/5,11,15,21,26,30,34,35,4,36,0,11,114,6824,110319,189588,0,7307100,987000,9600,1400,1000,2025575125
286,2018/10/12,4,5,14,17,18,29,37,27,31,0,12,151,7138,114717,211324,0,7365100,819400,10100,1500,1000,2147483647
287,2018/10/19,2,7,10,20,24,29,34,4,8,0,5,139,7135,120517,229390,0,20004100,1007300,11500,1600,1000,2147483647
288,2018/10/26,1,8,9,16,27,32,37,17,31,2,16,253,11152,159113,254099,1000000000,6898600,610700,8100,1400,1000,1856070345
289,2018/11/2,2,7,10,12,16,17,34,23,25,1,10,116,8151,126863,237336,1000000000,9272400,1119000,9300,1400,900,1431007375
290,2018/11/9,3,13,22,26,31,32,37,29,35,0,7,135,8993,117753,200734,0,12685700,920800,8100,1500,1100,1958591280
291,2018/11/16,1,11,18,19,21,29,37,5,15,1,11,147,6914,112385,215531,1000000000,8279400,867300,10800,1600,1000,1511981740
292,2018/11/23,12,15,25,26,27,29,35,24,30,0,7,123,6641,115238,194454,0,11727300,934300,10100,1400,1000,2011587545
293,2018/11/30,11,13,15,20,27,29,35,1,7,3,13,193,8255,127142,221913,847890100,6877200,648500,8800,1400,1000,0
294,2018/12/7,3,4,6,10,14,22,29,28,32,0,6,117,5538,86288,141461,0,9858900,707800,8700,1300,1000,362900105
295,2018/12/14,4,5,6,8,9,22,32,13,26,0,7,85,5550,91904,170758,0,10043600,1157900,10400,1500,1000,786597795
296,2018/12/21,1,8,10,12,18,28,29,25,27,1,14,181,8342,120593,198645,1000000000,5696500,616800,7800,1300,1000,262288165
297,2018/12/28,2,3,11,16,23,28,36,8,24,0,29,216,9573,127018,215516,0,2601200,488900,6400,1200,800,723867455
298,2019/1/4,1,3,8,11,18,19,22,26,30,0,10,147,6553,92747,141991,0,5834900,555700,7300,1200,1000,1078420555
299,2019/1/11,1,6,10,13,16,26,36,28,30,0,11,207,7616,105706,186101,0,7533500,560400,8900,1500,1100,1578585130
300,2019/1/18,4,7,21,31,33,34,35,6,12,1,4,172,7409,114350,193635,1000000000,21689100,706100,9600,1500,1100,1097825350
301,2019/1/25,4,11,12,25,27,30,33,5,19,0,20,196,8211,122132,209123,0,4144500,592000,8200,1300,900,1614973255
302,2019/2/1,8,16,26,27,28,32,34,4,25,0,10,145,7315,116603,198947,0,8611300,831400,9600,1400,1000,2147483647
303,2019/2/8,4,7,14,17,21,34,37,10,30,0,11,328,9335,126257,194195,0,8300300,389700,8000,1400,1100,2147483647
304,2019/2/15,7,9,10,17,28,33,36,18,23,0,14,167,7790,132072,242136,0,6958200,816600,10200,1400,1000,2147483647
305,2019/2/22,6,17,23,24,27,28,31,10,18,1,15,187,9402,154534,262362,1000000000,7062900,793100,9200,1300,1000,2147483647
306,2019/3/1,12,13,15,22,25,33,35,1,31,0,8,186,8831,135005,222934,0,12306100,741000,9100,1400,1100,2147483647
307,2019/3/8,5,8,15,24,25,32,35,20,26,3,21,297,13086,162254,244004,1000000000,4932300,488200,6500,1200,1000,1171937610
308,2019/3/15,5,6,11,15,20,32,33,13,25,0,4,133,6761,110187,205005,0,21951800,924200,10600,1600,1000,1705667655
309,2019/3/22,1,7,13,14,16,21,22,18,34,0,9,126,6832,117028,211539,0,9861900,986100,10600,1500,1000,2147483647
310,2019/3/29,17,25,26,28,31,32,37,6,9,3,7,110,6651,115353,216558,933583800,12983500,1156600,11200,1500,1000,0
311,2019/4/5,9,11,18,24,26,27,37,30,33,0,8,107,5650,88259,146370,0,7563000,791600,8700,1300,1000,369634875
312,2019/4/12,1,2,4,18,20,29,34,17,30,1,8,97,5040,83581,152043,793630300,8697900,1004200,11300,1600,1100,0
313,2019/4/19,9,13,16,23,28,29,30,1,20,0,5,127,5448,89097,130932,0,12035500,663300,9000,1300,1100,367344040
314,2019/4/26,3,6,8,19,32,34,35,12,30,0,13,108,5553,97779,166517,0,5485700,924400,10500,1400,1000,806994855
315,2019/5/3,3,11,18,26,30,33,37,28,31,3,5,159,6455,98226,161077,413815400,14069200,619300,8900,1400,1000,0
316,2019/5/10,3,9,10,17,30,33,34,6,8,1,12,135,5666,82071,140345,348691900,4827400,600700,8300,1400,1000,0
317,2019/5/17,7,8,14,15,16,20,29,18,19,0,4,76,4620,75217,116545,0,14232400,1048600,10100,1500,1200,340388440
318,2019/5/24,4,5,10,12,27,34,36,3,14,2,7,140,6908,105569,162780,376602400,9773600,684100,8100,1300,1000,0
319,2019/5/31,2,6,14,23,28,31,35,19,27,1,30,226,7223,94033,149658,348796200,1908100,354600,6500,1200,900,0
320,2019/6/7,5,6,18,22,26,33,34,36,37,1,7,121,5868,79530,122679,333152300,7832200,634300,7600,1300,1100,0
321,2019/6/14,15,24,27,28,29,34,35,9,25,0,9,86,4828,82937,145249,0,6392100,936500,9700,1400,900,352790235
322,2019/6/21,1,10,11,21,26,29,30,14,20,2,13,147,7713,101277,152176,389402400,5354100,662800,7400,1300,1100,0
323,2019/6/28,11,14,15,21,26,34,36,23,27,1,6,103,4826,77359,146957,355424900,9655800,787400,9800,1500,900,0
324,2019/7/5,9,13,16,17,18,19,20,30,36,0,2,97,4121,63156,113947,0,27594700,796500,10900,1700,1200,331147175
325,2019/7/12,4,14,17,18,21,31,33,6,20,0,5,97,4977,80144,137151,0,13191000,951900,10800,1600,1200,725726100
326,2019/7/19,1,2,17,18,24,27,29,12,32,2,5,103,5032,90286,164592,584295200,14430500,980600,11700,1600,1000,0
327,2019/7/26,1,3,13,14,16,30,31,2,17,1,5,95,4617,68651,111898,325927600,10812400,796600,9600,1500,1200,0
328,2019/8/2,3,9,10,14,19,24,30,18,21,1,5,114,4490,73061,120577,319467200,10642200,653400,9700,1400,1100,0
329,2019/8/9,3,10,19,20,26,28,30,15,25,0,4,89,4430,69036,116797,0,12892800,811200,9500,1500,1100,305395695
330,2019/8/16,3,4,10,12,17,18,20,19,32,1,4,120,5435,84712,138394,674889600,15358000,716600,9200,1400,1100,0
331,2019/8/23,5,7,11,12,15,18,20,19,30,0,6,126,4999,78083,134724,0,8872000,591400,8700,1300,900,331931710
332,2019/8/30,5,7,10,15,24,27,30,3,33,0,10,149,7242,107919,177475,0,6623100,622300,7500,1200,900,732637115
333,2019/9/6,1,4,10,11,16,24,34,30,32,0,8,163,7178,109222,177114,0,9777700,671800,8900,1400,1100,1200001505
